Specimen Collection Date,Race/Ethnicity,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/03/05,Hispanic or Latino,4,5,01/14/2021 02:15:19 PM
2020/03/06,Hispanic or Latino,0,5,01/14/2021 02:15:19 PM
2020/03/07,Hispanic or Latino,3,8,01/14/2021 02:15:19 PM
2020/03/07,Unknown,2,5,01/14/2021 02:15:19 PM
2020/03/08,Hispanic or Latino,1,9,01/14/2021 02:15:19 PM
2020/03/08,Unknown,0,5,01/14/2021 02:15:19 PM
2020/03/09,Hispanic or Latino,0,9,01/14/2021 02:15:19 PM
2020/03/09,Unknown,0,5,01/14/2021 02:15:19 PM
2020/03/10,Hispanic or Latino,1,10,01/14/2021 02:15:19 PM
2020/03/10,Unknown,2,7,01/14/2021 02:15:19 PM
2020/03/11,Hispanic or Latino,3,13,01/14/2021 02:15:19 PM
2020/03/11,Unknown,3,10,01/14/2021 02:15:19 PM
2020/03/12,Hispanic or Latino,0,13,01/14/2021 02:15:19 PM
2020/03/12,Unknown,3,13,01/14/2021 02:15:19 PM
2020/03/13,Asian,3,7,01/14/2021 02:15:19 PM
2020/03/13,Hispanic or Latino,2,15,01/14/2021 02:15:19 PM
2020/03/13,Unknown,5,18,01/14/2021 02:15:19 PM
2020/03/13,White,3,7,01/14/2021 02:15:19 PM
2020/03/14,Asian,2,9,01/14/2021 02:15:19 PM
2020/03/14,Hispanic or Latino,1,16,01/14/2021 02:15:19 PM
2020/03/14,Unknown,1,19,01/14/2021 02:15:19 PM
2020/03/14,White,5,12,01/14/2021 02:15:19 PM
2020/03/15,Asian,2,11,01/14/2021 02:15:19 PM
2020/03/15,Hispanic or Latino,1,17,01/14/2021 02:15:19 PM
2020/03/15,Unknown,1,20,01/14/2021 02:15:19 PM
2020/03/15,White,6,18,01/14/2021 02:15:19 PM
2020/03/16,Asian,8,19,01/14/2021 02:15:19 PM
2020/03/16,Hispanic or Latino,4,21,01/14/2021 02:15:19 PM
2020/03/16,Unknown,8,28,01/14/2021 02:15:19 PM
2020/03/16,White,19,37,01/14/2021 02:15:19 PM
2020/03/17,Asian,4,23,01/14/2021 02:15:19 PM
2020/03/17,Hispanic or Latino,4,25,01/14/2021 02:15:19 PM
2020/03/17,Unknown,6,34,01/14/2021 02:15:19 PM
2020/03/17,White,11,48,01/14/2021 02:15:19 PM
2020/03/18,Asian,0,23,01/14/2021 02:15:19 PM
2020/03/18,Black or African American,1,5,01/14/2021 02:15:19 PM
2020/03/18,Hispanic or Latino,10,35,01/14/2021 02:15:19 PM
2020/03/18,Unknown,4,38,01/14/2021 02:15:19 PM
2020/03/18,White,6,54,01/14/2021 02:15:19 PM
2020/03/19,Asian,3,26,01/14/2021 02:15:19 PM
2020/03/19,Black or African American,2,7,01/14/2021 02:15:19 PM
2020/03/19,Hispanic or Latino,2,37,01/14/2021 02:15:19 PM
2020/03/19,Other,1,5,01/14/2021 02:15:19 PM
2020/03/19,Unknown,3,41,01/14/2021 02:15:19 PM
2020/03/19,White,8,62,01/14/2021 02:15:19 PM
2020/03/20,Asian,7,33,01/14/2021 02:15:19 PM
2020/03/20,Black or African American,3,10,01/14/2021 02:15:19 PM
2020/03/20,Hispanic or Latino,11,48,01/14/2021 02:15:19 PM
2020/03/20,Other,0,5,01/14/2021 02:15:19 PM
2020/03/20,Unknown,7,48,01/14/2021 02:15:19 PM
2020/03/20,White,8,70,01/14/2021 02:15:19 PM
2020/03/21,Asian,3,36,01/14/2021 02:15:19 PM
2020/03/21,Black or African American,1,11,01/14/2021 02:15:19 PM
2020/03/21,Hispanic or Latino,7,55,01/14/2021 02:15:19 PM
2020/03/21,Other,0,5,01/14/2021 02:15:19 PM
2020/03/21,Unknown,1,49,01/14/2021 02:15:19 PM
2020/03/21,White,5,75,01/14/2021 02:15:19 PM
2020/03/22,Asian,3,39,01/14/2021 02:15:19 PM
2020/03/22,Black or African American,3,14,01/14/2021 02:15:19 PM
2020/03/22,Hispanic or Latino,5,60,01/14/2021 02:15:19 PM
2020/03/22,Other,2,7,01/14/2021 02:15:19 PM
2020/03/22,Unknown,4,53,01/14/2021 02:15:19 PM
2020/03/22,White,8,83,01/14/2021 02:15:19 PM
2020/03/23,Asian,2,41,01/14/2021 02:15:19 PM
2020/03/23,Black or African American,3,17,01/14/2021 02:15:19 PM
2020/03/23,Hispanic or Latino,13,73,01/14/2021 02:15:19 PM
2020/03/23,Other,2,9,01/14/2021 02:15:19 PM
2020/03/23,Unknown,3,56,01/14/2021 02:15:19 PM
2020/03/23,White,10,93,01/14/2021 02:15:19 PM
2020/03/24,Asian,6,47,01/14/2021 02:15:19 PM
2020/03/24,Black or African American,2,19,01/14/2021 02:15:19 PM
2020/03/24,Hispanic or Latino,14,87,01/14/2021 02:15:19 PM
2020/03/24,Other,3,12,01/14/2021 02:15:19 PM
2020/03/24,Unknown,2,58,01/14/2021 02:15:19 PM
2020/03/24,White,13,106,01/14/2021 02:15:19 PM
2020/03/25,Asian,9,56,01/14/2021 02:15:19 PM
2020/03/25,Black or African American,4,23,01/14/2021 02:15:19 PM
2020/03/25,Hispanic or Latino,13,100,01/14/2021 02:15:19 PM
2020/03/25,Other,0,12,01/14/2021 02:15:19 PM
2020/03/25,Unknown,7,65,01/14/2021 02:15:19 PM
2020/03/25,White,9,115,01/14/2021 02:15:19 PM
2020/03/26,Asian,4,60,01/14/2021 02:15:19 PM
2020/03/26,Black or African American,4,27,01/14/2021 02:15:19 PM
2020/03/26,Hispanic or Latino,15,115,01/14/2021 02:15:19 PM
2020/03/26,Other,3,15,01/14/2021 02:15:19 PM
2020/03/26,Unknown,5,70,01/14/2021 02:15:19 PM
2020/03/26,White,10,125,01/14/2021 02:15:19 PM
2020/03/27,Asian,9,69,01/14/2021 02:15:19 PM
2020/03/27,Black or African American,2,29,01/14/2021 02:15:19 PM
2020/03/27,Hispanic or Latino,11,126,01/14/2021 02:15:19 PM
2020/03/27,Other,2,17,01/14/2021 02:15:19 PM
2020/03/27,Unknown,1,71,01/14/2021 02:15:19 PM
2020/03/27,White,7,132,01/14/2021 02:15:19 PM
2020/03/28,Asian,2,71,01/14/2021 02:15:19 PM
2020/03/28,Black or African American,2,31,01/14/2021 02:15:19 PM
2020/03/28,Hispanic or Latino,5,131,01/14/2021 02:15:19 PM
2020/03/28,Other,0,17,01/14/2021 02:15:19 PM
2020/03/28,Unknown,4,75,01/14/2021 02:15:19 PM
2020/03/28,White,4,136,01/14/2021 02:15:19 PM
2020/03/29,Asian,5,76,01/14/2021 02:15:19 PM
2020/03/29,Black or African American,1,32,01/14/2021 02:15:19 PM
2020/03/29,Hispanic or Latino,6,137,01/14/2021 02:15:19 PM
2020/03/29,Other,0,17,01/14/2021 02:15:19 PM
2020/03/29,Unknown,0,75,01/14/2021 02:15:19 PM
2020/03/29,White,0,136,01/14/2021 02:15:19 PM
2020/03/30,Asian,11,87,01/14/2021 02:15:19 PM
2020/03/30,Black or African American,0,32,01/14/2021 02:15:19 PM
2020/03/30,Hispanic or Latino,18,155,01/14/2021 02:15:19 PM
2020/03/30,Other,2,19,01/14/2021 02:15:19 PM
2020/03/30,Unknown,3,78,01/14/2021 02:15:19 PM
2020/03/30,White,8,144,01/14/2021 02:15:19 PM
2020/03/31,Asian,11,98,01/14/2021 02:15:19 PM
2020/03/31,Black or African American,1,33,01/14/2021 02:15:19 PM
2020/03/31,Hispanic or Latino,17,172,01/14/2021 02:15:19 PM
2020/03/31,Other,1,20,01/14/2021 02:15:19 PM
2020/03/31,Unknown,9,87,01/14/2021 02:15:19 PM
2020/03/31,White,14,158,01/14/2021 02:15:19 PM
2020/04/01,Asian,8,106,01/14/2021 02:15:19 PM
2020/04/01,Black or African American,4,37,01/14/2021 02:15:19 PM
2020/04/01,Hispanic or Latino,9,181,01/14/2021 02:15:19 PM
2020/04/01,Native Hawaiian or Other Pacific Islander,3,7,01/14/2021 02:15:19 PM
2020/04/01,Other,1,21,01/14/2021 02:15:19 PM
2020/04/01,Unknown,8,95,01/14/2021 02:15:19 PM
2020/04/01,White,6,164,01/14/2021 02:15:19 PM
2020/04/02,Asian,9,115,01/14/2021 02:15:19 PM
